Organize,Month,P5,P25,P50,P75,P95
0,50,47.9,49.3,50.3,51.3,52.7
0,51,47.9,49.4,50.4,51.3,52.8
0,52,48,49.4,50.4,51.4,52.8
0,53,48,49.5,50.4,51.4,52.9
0,54,48.1,49.5,50.5,51.5,52.9
0,55,48.1,49.5,50.5,51.5,53
0,56,48.1,49.6,50.6,51.6,53
0,57,48.2,49.6,50.6,51.6,53.1
0,58,48.2,49.7,50.7,51.7,53.1
0,59,48.2,49.7,50.7,51.7,53.2
0,60,48.3,49.7,50.7,51.7,53.2
1,0,32.1,34.5,35.8,37.0,38.5
1,1,33.8,35.9,37.2,38.3,39.8
1,2,36.3,38.1,39.2,40.2,41.6
1,3,38.0,39.6,40.7,41.6,43.0
1,4,39.3,40.8,41.8,42.7,44.0
1,5,40.3,41.7,42.7,43.6,44.9
1,6,41.1,42.5,43.4,44.3,45.6
1,7,41.8,43.1,44.0,44.9,46.2
1,8,42.4,43.7,44.6,45.5,46.7
1,9,43.0,44.2,45.1,45.9,47.2
1,10,43.4,44.6,45.5,46.3,47.6
1,11,43.8,45.0,45.9,46.7,48.0
1,12,44.1,45.3,46.2,47.1,48.3
1,13,44.4,45.6,46.5,47.4,48.6
1,14,44.7,45.9,46.8,47.7,48.9
1,15,44.9,46.2,47.0,47.9,49.2
1,16,45.2,46.4,47.3,48.1,49.4
1,17,45.3,46.6,47.5,48.4,49.7
1,18,45.5,46.8,47.7,48.6,49.9
1,19,45.7,47.0,47.9,48.8,50.1
1,20,45.8,47.1,48.0,48.9,50.3
1,21,46.0,47.3,48.2,49.1,50.4
1,22,46.1,47.4,48.3,49.3,50.6
1,23,46.2,47.5,48.5,49.4,50.8
1,24,46.3,47.6,48.6,49.5,50.9
1,25,46.4,47.8,48.7,49.7,51.0
1,26,46.4,47.9,48.8,49.8,51.2
1,27,46.5,47.9,48.9,49.9,51.3
1,28,46.6,48.0,49.0,50.0,51.4
1,29,46.6,48.1,49.1,50.1,51.5
1,30,46.7,48.2,49.2,50.2,51.6
1,31,46.7,48.3,49.3,50.3,51.7
1,32,46.7,48.3,49.4,50.4,51.8
1,33,46.8,48.4,49.5,50.5,51.9
1,34,46.8,48.4,49.5,50.6,52.0
1,35,46.8,48.5,49.6,50.6,52.1
1,36,46.9,48.5,49.7,50.7,52.2
2,0,32.7,33.4,34.3,35.2,36
2,1,35.5,36.2,37,37.8,38.5
2,2,37.6,38.3,39.1,39.9,40.6
2,3,39,39.7,40.5,41.3,42
2,4,40.1,40.8,41.6,42.4,43.1
2,5,41,41.7,42.5,43.4,44.1
2,6,41.8,42.5,43.4,44.2,44.9
2,7,42.5,43.2,44,44.9,45.6
2,8,43.1,43.8,44.6,45.5,46.2
2,9,43.5,44.3,45.1,46,46.7
2,10,43.9,44.7,45.5,46.4,47.1
2,11,44.3,45,45.8,46.7,47.5
2,12,44.6,45.3,46.1,47,47.8
2,13,44.8,45.5,46.4,47.2,48
2,14,45,45.8,46.6,47.5,48.2
2,15,45.2,46,46.8,47.7,48.5
2,16,45.4,46.2,47,47.9,48.7
2,17,45.6,46.3,47.2,48,48.8
2,18,45.8,46.5,47.4,48.2,49
2,19,46,46.7,47.5,48.4,49.2
2,20,46.1,46.9,47.7,48.6,49.4
2,21,46.3,47,47.9,48.8,49.6
2,22,46.5,47.2,48.1,48.9,49.7
2,23,46.6,47.4,48.2,49.1,49.9
2,24,46.7,47.5,48.3,49.2,50
2,27,47.1,47.8,48.7,49.5,50.4
2,30,47.3,48.1,48.9,49.8,50.6
2,33,47.5,48.3,49.2,50,50.9
2,36,47.7,48.5,49.3,50.2,51.1
